0.95963784E-1, 1.9867479, 0.10309117E-1, 0.52167571, 0.64036107, 0.46841159, 5.1414747, 54.914082, 26.804834, 0.92986282E-2, 22.157509, 0.22145934E-1, 0.31069496E-2, 27.516523, 17539.701, 35917.340, 336877.62, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.96470855E-1, 2.0136659, 0.10523854E-1, 0.52827537, 0.64742553, 0.47320503, 5.1777515, 55.430466, 27.366337, 0.10903682E-1, 22.424231, 0.20162530E-1, 0.31489229E-2, 27.772993, 17738.670, 36319.102, 336877.66, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.96820973E-1, 2.0396614, 0.10649676E-1, 0.53331017, 0.65240145, 0.47677070, 5.2105484, 55.932678, 27.923811, 0.15978334E-1, 22.688238, 0.27917866E-1, 0.31945899E-2, 28.025751, 17962.496, 36770.840, 336877.66, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.97017266E-1, 2.0631833, 0.10718168E-1, 0.53733826, 0.65633833, 0.47971559, 5.2415237, 56.419849, 28.477169, 0.18330224E-1, 22.949207, 0.29656222E-1, 0.32465723E-2, 28.277334, 18215.199, 37280.293, 336877.66, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.97172566E-1, 2.0873694, 0.10762213E-1, 0.54144722, 0.65982705, 0.48248211, 5.2717009, 56.893589, 29.026207, 0.18970544E-1, 23.213833, 0.32410301E-1, 0.33045046E-2, 28.538025, 18498.223, 37850.824, 336877.75, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.97310081E-1, 2.1098828, 0.10802216E-1, 0.54553330, 0.66350961, 0.48536131, 5.3017592, 57.325611, 29.569834, 0.18048376E-1, 23.457960, 0.31327195E-1, 0.33681754E-2, 28.778902, 18823.264, 38505.680, 336877.78, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.97568549E-1, 2.1333983, 0.10867168E-1, 0.55059016, 0.66749275, 0.48844767, 5.3317595, 57.742317, 30.107622, 0.20755716E-1, 23.697277, 0.31261101E-1, 0.34382385E-2, 29.004290, 19170.465, 39204.707, 336877.81, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.97698793E-1, 2.1548488, 0.10896757E-1, 0.55491900, 0.67091149, 0.49121347, 5.3631644, 58.145199, 30.639660, 0.26655734E-1, 23.923494, 0.41610133E-1, 0.35235090E-2, 29.216501, 19597.992, 40065.266, 336879.59, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.98049380E-1, 2.1753755, 0.10944385E-1, 0.55935252, 0.67407531, 0.49372271, 5.3911471, 58.529202, 31.165983, 0.31649362E-1, 24.155479, 0.42467032E-1, 0.36240334E-2, 29.426308, 20105.342, 41085.258, 336879.75, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.98420806E-1, 2.1952472, 0.10983745E-1, 0.56290412, 0.67644185, 0.49564350, 5.4163575, 58.894115, 31.686275, 0.35082370E-1, 24.374756, 0.34595013E-1, 0.37328193E-2, 29.618944, 20660.520, 42200.918, 336932.94, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.98747700E-1, 2.2164621, 0.11027565E-1, 0.56665647, 0.67958605, 0.49806315, 5.4433818, 59.252853, 32.169071, 0.46933979E-1, 24.591843, 0.41002706E-1, 0.38696567E-2, 29.796259, 21352.004, 43588.629, 336993.91, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.98917373E-1, 2.2358019, 0.11058166E-1, 0.56948566, 0.68204665, 0.49999806, 5.4670744, 59.604572, 32.599274, 0.48858617E-1, 24.803030, 0.37855301E-1, 0.40235710E-2, 29.986649, 22142.426, 45172.832, 336997.53, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.99015512E-1, 2.2527506, 0.11082618E-1, 0.57169861, 0.68407995, 0.50160789, 5.4865370, 59.929115, 33.018097, 0.60107656E-1, 25.016399, 0.39718263E-1, 0.42029698E-2, 30.154203, 23068.977, 47027.418, 337036.22, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.99121928E-1, 2.2688780, 0.11108452E-1, 0.57414061, 0.68624920, 0.50330794, 5.5060635, 60.228168, 33.423378, 0.65089554E-1, 25.210978, 0.34829147E-1, 0.44109002E-2, 30.313141, 24147.004, 49181.602, 337071.06, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.99239506E-1, 2.2833309, 0.11137947E-1, 0.57609034, 0.68792093, 0.50460434, 5.5209322, 60.500484, 33.812363, 0.74009955E-1, 25.388376, 0.32294121E-1, 0.46491441E-2, 30.443035, 25390.301, 51661.336, 337388.41, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.99294633E-1, 2.2955742, 0.11151657E-1, 0.57747912, 0.68918973, 0.50564110, 5.5345583, 60.742302, 34.182117, 0.84085189E-1, 25.540602, 0.35078797E-1, 0.49168686E-2, 30.547707, 26801.830, 54470.266, 337732.66, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.99325992E-1, 2.3056512, 0.11165765E-1, 0.57861859, 0.69021189, 0.50646085, 5.5449252, 60.952705, 34.529114, 0.93616337E-1, 25.676329, 0.38502764E-1, 0.52198544E-2, 30.635479, 28401.201, 57645.238, 338364.91, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.99376351E-1, 2.3139977, 0.11180056E-1, 0.57964861, 0.69119036, 0.50722271, 5.5545168, 61.131767, 34.850117, 0.10213485, 25.793989, 0.42121261E-1, 0.55564204E-2, 30.706051, 30180.465, 61167.312, 339274.97, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
0.99402517E-1, 2.3204851, 0.11190840E-1, 0.58047581, 0.69192910, 0.50781727, 5.5618911, 61.282040, 35.142746, 0.10885817, 25.899584, 0.42675544E-1, 0.59218979E-2, 30.764933, 32115.520, 64986.125, 340651.78, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
