sample_id,treatment,gpp_sum,npp_sum,lai_mean,reco_sum,rauto_sum,rhetero_sum,npp_leaf_sum,npp_wood_sum,npp_root_sum,npp_repro_sum,litterfall_c_sum,leaf_c_end,wood_c_end,root_c_end,plant_c_end,soil_c_end,nsc_end,p_demand_sum,p_uptake_sum,p_retrans_sum,leaf_p_end,root_p_end,plant_p_end,leaf_cp_end,root_cp_end,p_net_sum,fptase_sum,p_loss_sum,labile_p_end,sorbed_p_end,strongly_sorbed_p_end,occluded_p_end,microbial_p_end,organic_p_end,total_inorganic_p_end
t008_s023,P25,1399.053467,55.20109177,0.4187225103,2391.445557,382.6546631,2008.788086,18.75285912,6.560494423,28.61419487,1.273540378,58.62425232,27.39589882,4.511029243,10.39948177,42.67403412,21180.85352,28.48889542,828.848877,0.08583495766,0.03779252246,0.03411693498,0.008798209019,0.04432793707,803.0,1181.999878,6.69978857,0.007195273414,8.08410332e-05,1.900696158,12.46328259,18.04949951,131.9372406,0.9139385223,112.2177963,164.3507233
t008_s023,P50,1994.53479,466.9971924,0.7097734213,2609.895996,544.635376,2065.262451,143.1091309,81.44849396,231.9635773,10.47607708,264.3052979,129.7602844,64.46884918,54.19333267,248.7900848,21330.17383,88.25881958,694.7484741,0.3892409503,0.1467200518,0.161594376,0.04584884271,0.2208475769,803.0,1182.0,6.507590294,0.007195355836,0.0001272767258,2.972294331,18.165802,18.05576706,131.9372559,1.126592994,112.4849396,171.1311188
t008_s023,P100,2482.97583,817.7799683,1.017051935,2849.407227,696.1339722,2153.270996,236.5286102,137.1356964,405.293457,38.82217789,477.2433167,165.9052887,124.0062256,67.4144516,386.6341553,21455.17969,90.8452301,608.1252441,0.623077929,0.2651770711,0.2066068351,0.05703422427,0.3291481137,803.0,1182.0,6.311464787,0.007195591461,0.0002306304086,5.575232029,29.24743462,18.06616783,131.9372406,1.348575592,112.765274,184.8260803
t008_s024,P0,1329.224731,2.602168798,0.3894561827,383.4572144,151.5225677,231.934021,1.323285937,0.1639707685,1.107548356,0.007362647913,35.53791046,11.6958828,1.06251061,0.0356817022,13.16169739,23013.64844,1.742797971,1315.970093,2.785000288e-05,0.02560777403,0.01456523407,3.018756252e-05,0.01531851012,803.0,1182.000122,-0.3376016617,0.007181314286,6.238008154e-08,7.503874076e-05,8.191602683e-05,18.03536415,131.9372101,6.459298134,119.1047363,149.9727325
t008_s024,P25,2645.575195,946.2889404,1.138911486,3008.413086,744.5737915,2263.845215,267.6135864,158.1070862,463.7105713,56.85777664,561.7254028,168.6117706,145.3287201,70.33776855,430.665741,21508.51953,86.9440155,602.1190796,0.7123073339,0.3131555915,0.2099772841,0.05950742215,0.3629775345,803.000061,1181.999878,6.089293003,0.007195739076,0.0002936572128,6.537127495,6.64437151,18.04350853,131.9373322,1.43850112,112.8895874,163.1623383
t008_s024,P50,2836.501709,1087.322876,1.28303802,3117.730957,809.7677612,2307.9646,301.9657593,181.2927094,525.8581543,78.20589447,654.2159424,171.1521759,169.0247192,72.71183014,479.2017212,21556.97656,86.9899826,538.2336426,0.8098650575,0.3654554784,0.2131409347,0.06151593104,0.4005632401,803.0,1182.0,6.022451401,0.007195911836,0.0004632914497,10.33618546,10.10112667,18.04745102,131.9373627,1.51725769,112.9961548,170.4221191
t008_s024,P100,2836.68457,1087.441528,1.283172607,3117.868164,809.8631592,2308.001221,301.9984436,181.3205414,525.9100952,78.21234131,654.2902832,171.1672363,169.0475311,72.71580505,479.2470093,21557.01172,86.99425507,489.4074402,0.8104752302,0.3654962182,0.2131596953,0.0615192987,0.4005946219,803.0,1181.999878,6.022401333,0.007195912302,0.0008172643138,18.46684837,16.67258835,18.05415535,131.9373627,1.5173136,112.9962311,185.1309509
t008_s025,P0,1886.602417,3.428825617,0.5928807855,505.0398865,273.368103,231.6689911,1.575761914,0.2742257714,1.578579307,0.0002563207236,36.21483612,11.83366871,1.233271122,0.05037830397,13.48494053,23014.75195,4.233360767,1326.577271,3.340279727e-05,0.02598367259,0.01473682281,4.262123912e-05,0.01553668454,803.0,1182.0,-0.3375943005,0.007181313355,6.196076896e-08,7.517580525e-05,8.206564962e-05,18.03530502,131.9371948,6.45896244,119.105011,149.9726562
t008_s025,P25,3592.439209,1288.852661,2.067456722,3357.189453,1002.584106,2354.608398,334.1044922,227.3297577,588.2997437,139.118103,737.9483032,173.000885,217.0013733,85.03621674,597.1737061,21594.23047,90.95655823,579.6379395,0.9565442801,0.4095881283,0.215443179,0.07194265723,0.500418365,803.000061,1182.0,6.064638138,0.007195803337,0.0002998155251,6.398898602,6.513367653,18.04229546,131.9382477,1.507696152,112.9964447,162.892807
t008_s025,P50,3841.06665,1550.277222,2.319761515,3516.300537,1058.045532,2458.256592,397.0656433,269.078125,697.944519,186.187973,911.1963501,179.1492767,259.636261,87.18798828,685.3527222,21663.89844,90.48149109,503.2252502,1.1320647,0.5037955046,0.2230999619,0.07376310974,0.5701503158,803.000061,1181.999878,5.951812267,0.007196245249,0.0004727982159,10.12669086,9.917458534,18.04594612,131.9383087,1.647110343,113.1880493,170.0284119
t008_s025,P100,4070.602783,1815.513184,2.546937227,3670.252686,1097.161499,2573.083252,457.8653259,316.4967957,807.6552734,233.496521,1098.463867,179.3192444,302.4970398,88.10849762,763.319458,21736.43359,91.33347321,444.7348938,1.306281924,0.6048986316,0.2233116478,0.07454187423,0.6269565821,802.999939,1182.0,5.836583614,0.007196847349,0.0008365800604,18.07670593,16.38020706,18.05265617,131.9382324,1.790862083,113.3903656,184.4477997
t008_s026,P0,1886.613403,3.430084229,0.5928845406,505.0628967,273.382843,231.6771698,1.577230692,0.2741966844,1.578398466,0.0002563268354,36.21502304,11.83393002,1.233252883,0.05038303509,13.48518753,23014.74219,4.234423637,1326.809692,2.809865509e-05,0.02598386817,0.01473714877,4.262524089e-05,0.01553701144,803.0,1182.0,-0.3375996053,0.007181313355,6.196000157e-08,7.517378253e-05,8.206343773e-05,18.03530502,131.9371948,6.45898819,119.105011,149.9726562
