parameter_id,parameter_name_cn,primary_process,evaluated_process,process_score,n_metric_cases,rank_within_process
s_tau_slow,慢周转土壤有机质时间,土壤磷动态,植物磷需求与获取,0.387203025914811,63,5
s_tau_slow,慢周转土壤有机质时间,土壤磷动态,土壤磷动态,0.33845724389639636,70,5
s_tau_passive,惰性土壤有机质时间,土壤磷动态,碳获取与呼吸,0.014733745462478045,35,19
s_tau_passive,惰性土壤有机质时间,土壤磷动态,碳分配与库周转,0.013787855294746946,84,21
s_tau_passive,惰性土壤有机质时间,土壤磷动态,植物磷需求与获取,0.14261050342060677,63,23
s_tau_passive,惰性土壤有机质时间,土壤磷动态,土壤磷动态,0.01470747899493063,70,17
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,碳获取与呼吸,0.0025911610974491436,35,25
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,碳分配与库周转,0.002561246304232007,84,26
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,植物磷需求与获取,0.14693592670799474,63,22
s_eta_leaf,叶凋落物进入代谢库比例,土壤磷动态,土壤磷动态,0.0037124524138544813,70,23
s_eta_wood,木质凋落物进入代谢库比例,土壤磷动态,碳获取与呼吸,0.00016032371563377503,35,28
s_eta_wood,木质凋落物进入代谢库比例,土壤磷动态,碳分配与库周转,0.00021618816005999734,84,28
s_eta_wood,木质凋落物进入代谢库比例,土壤磷动态,植物磷需求与获取,0.10392744109209617,63,27
s_eta_wood,木质凋落物进入代谢库比例,土壤磷动态,土壤磷动态,2.2119536682483942e-05,70,30
s_eta_root,根凋落物进入代谢库比例,土壤磷动态,碳获取与呼吸,0.003996969914516837,35,23
s_eta_root,根凋落物进入代谢库比例,土壤磷动态,碳分配与库周转,0.004705777422869505,84,23
s_eta_root,根凋落物进入代谢库比例,土壤磷动态,植物磷需求与获取,0.12442944641689488,63,25
s_eta_root,根凋落物进入代谢库比例,土壤磷动态,土壤磷动态,0.0033681152900116437,70,24
s_psorbmax,最大磷吸附容量倍率,土壤磷动态,碳获取与呼吸,0.3741074165360939,35,6
s_psorbmax,最大磷吸附容量倍率,土壤磷动态,碳分配与库周转,0.36498860642434827,84,4
s_psorbmax,最大磷吸附容量倍率,土壤磷动态,植物磷需求与获取,0.43302546805481723,63,4
s_psorbmax,最大磷吸附容量倍率,土壤磷动态,土壤磷动态,0.36850302983973426,70,2
s_kmlabp,有效磷半饱和常数倍率,土壤磷动态,碳获取与呼吸,0.372161182283953,35,7
s_kmlabp,有效磷半饱和常数倍率,土壤磷动态,碳分配与库周转,0.3398222765807396,84,6
s_kmlabp,有效磷半饱和常数倍率,土壤磷动态,植物磷需求与获取,0.38645203971414066,63,6
s_kmlabp,有效磷半饱和常数倍率,土壤磷动态,土壤磷动态,0.34323096320169066,70,3
s_sorb_to_ssorb,吸附态向强吸附态转化倍率,土壤磷动态,碳获取与呼吸,0.0006039468671414542,35,27
s_sorb_to_ssorb,吸附态向强吸附态转化倍率,土壤磷动态,碳分配与库周转,0.0006498167074773448,84,27
s_sorb_to_ssorb,吸附态向强吸附态转化倍率,土壤磷动态,植物磷需求与获取,0.11557376364044494,63,26
s_sorb_to_ssorb,吸附态向强吸附态转化倍率,土壤磷动态,土壤磷动态,0.10409587708284437,70,9
s_ssorb_to_occ,强吸附态向闭蓄态转化倍率,土壤磷动态,碳获取与呼吸,0.0,35,30
s_ssorb_to_occ,强吸附态向闭蓄态转化倍率,土壤磷动态,碳分配与库周转,0.0,84,30
s_ssorb_to_occ,强吸附态向闭蓄态转化倍率,土壤磷动态,植物磷需求与获取,0.0,63,30
s_ssorb_to_occ,强吸附态向闭蓄态转化倍率,土壤磷动态,土壤磷动态,0.11035697576886316,70,8
s_p_loss,磷损失速率倍率,土壤磷动态,碳获取与呼吸,8.785997505368512e-05,35,29
s_p_loss,磷损失速率倍率,土壤磷动态,碳分配与库周转,0.00013126214779571386,84,29
s_p_loss,磷损失速率倍率,土壤磷动态,植物磷需求与获取,0.04859749881762065,63,29
s_p_loss,磷损失速率倍率,土壤磷动态,土壤磷动态,0.09467995983955428,70,10
